state,jurisdiction,longitude,latitude,fillKey,affiliation,statewide,fund,year,funding2021,legalServiceProviders,communityPartners,moreInfo,,,,,,,,,,,,,,,,
California,Alameda County,-121.816244,37.274258,point,SAFE Partner,,Alameda County Immigration Legal & Education Partnership (ACILEP),2017,,Centro Legal de La Raza (https://www.centrolegal.org/),Asian Prisoner Support Committee (https://www.asianprisonersupport.com/); Black Alliance for Just Immigration (https://baji.org/),Please visit www.standtogethercontracosta.org.,,,,,,,,,,,,,,,,
California,Long Beach,-117.498735,33.949259,point,SAFE Partner,,Long Beach Justice Fund,2018,Yes - Increased,Immigrant Defenders Law Center (https://www.immdef.org/),Long Beach Immigrants Rights Coalition (https://www.lbirc.org/),Please visit www.sanctuarylb.com or follow @SanctuaryLB on Facebook and Twitter or @sanctuarylb_coalition on Instagram.,,,,,,,,,,,,,,,,
California,Los Angeles (City),-118.293674,34.256583,point,Non-SAFE,,Los Angeles Justice Fund,2017,Yes - Stayed the Same,,,,,,,,,,,,,,,,,,,
California,Los Angeles County,-118.520624,33.873929,point,Non-SAFE,,Los Angeles Justice Fund,2017,Yes - Stayed the Same,,,,,,,,,,,,,,,,,,,
California,Oakland,-121.627981,37.940539,point,SAFE Partner,,Alameda County Immigration Legal & Education Partnership (ACILEP),2017,,Centro Legal de La Raza (https://www.centrolegal.org/),Asian Prisoner Support Committee (https://www.asianprisonersupport.com/); Black Alliance for Just Immigration (https://baji.org/),,,,,,,,,,,,,,,,,
California,Sacramento,-121.583344,38.5616501,point,SAFE Partner,,"Family Unity, Education, and Legal (FUEL) Network",2017,,California Rural Legal Assistance Foundation (https://www.crlaf.org/),,,,,,,,,,,,,,,,,,
California,San Francisco,-122.593648,37.955159,point,SAFE Partner,,San Francisco Immigrant Legal Defense Collaborative,2014,Yes - Stayed the Same,"San Francisco Public Defender (https://sfpublicdefender.org/); San Francisco Bar Association, Justice & Diversity Center (https://www.sfbar.org/jdc/)",,Please visit www.sfildc.org.,,,,,,,,,,,,,,,,
California,San Mateo,-122.3858427,37.5565152,point,Non-SAFE,,,2018,,,,,,,,,,,,,,,,,,,,
California,Santa Ana,-117.9573605,33.7378137,point,SAFE Partner,,Santa Ana Deportation Defense Fund,2017,Yes - Stayed the Same,Immigrant Defenders Law Center (https://www.immdef.org/),,"Please visit www.ocjusticefund.org, email info@ocjusticefund.org, or follow on Facebook at www.facebook.com/ocjusticefund.",,,,,,,,,,,,,,,,
California,San Diego County,-117.16327,32.71671,point,Non-SAFE,,,2021,,,,,,,,,,,,,,,,,,,,
California,State of California (Statewide),,,statewide,Non-SAFE,Yes,One California,2017,Yes - Decreased,,,,,,,,,,,,,,,,,,,
Colorado,Denver,-105.1359983,39.7640004,point,SAFE Partner,,Denver Immigrant Legal Services Fund,2017,Yes - Increased,Rocky Mountain Immigrant Advocacy Network (https://www.rmian.org/),Colorado Immigrant Rights Coalition (http://coloradoimmigrant.org/),,,,,,,,,,,,,,,,,
Colorado,Fort Collins,-105.07825,40.58524,point,Non-SAFE,,Municipal Immigration Legal Fund,2021,,,Alianza NORCO (https://alianzanorco.org/),,,,,,,,,,,,,,,,,
Colorado,State of Colorado (Statewide),,,statewide,Non-SAFE,Yes,Immigration Legal Defense Fund,2021,,,,Please see https://coloradoimmigrant.org/project/creating-a-statewide-legal-defense-fund or http://leg.colorado.gov/bills/hb21-1194.,,,,,,,,,,,,,,,,
