uuid,fips,urbanicity,name,type,juvenile_type,operator,capacity,private_name,ice_active,num_facilities,twp,facility_name,address,city,zip,lat,lon,facility_name_2,address_2,city_2,zip_2,lat_2,lon_2,facility_name_3,address_3,city_3,zip_3,lat_3,lon_3,coj_adultm,coj_adultf,coj_juvm, coj_juvf,coj_totgender,adltjuv,state_doc,state_doc_twp,state_doc_total,out_of_state,federal,ice,pretrial,parish_hold,total_pop,map_jails,map_twp,map_private,map_prison,map_juvenile,est_doc_rev,GT_1000_beds_99,GT_1000_beds_19
1,22001,small/mid,Acadia Parish,Jail,,Sheriff,180,,0,1,0,Acadia Parish Jail,1037 Capitol Ave,Crowley,70526,30.2076574,-92.3986817,,,,,,,,,,,,,159,20,1,0,180,1,19,0,19,0,0,0,143.1,159,178,1,0,0,0,0,183014.65,0,0
2,22001,small/mid,Acadia Parish,Jail,,City,13,,0,1,0,Rayne City Jail,200 Oak Street,Rayne,70578,30.247965,-92.2700792,,,,,,,,,,,,,13,0,0,0,13,0,12,0,12,0,0,0,0,0,12,1,0,0,0,0,115588.2,0,0
3,22001,small/mid,Acadia Parish,Jail,,City,6,,0,1,0,Church Point Police Jail,427 North Main Street,Church Point,70525,30.4012458,-92.213766,,,,,,,,,,,,,1,1,0,0,2,0,,,,,,,,,,1,0,0,0,0,,0,0
4,22001,small/mid,Acadia Parish,Juvenile,Non-Secure Residential Group Home,Private,36,,0,1,0,AMIkids - Acadiana,611 Celestine La Tortue Road,Branch,70516,30.32842779,-92.2296435,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,0,0
5,22003,rural,Allen Parish,Jail,,Sheriff,145,,1,1,0,Allen Parish Public Safety Complex,7340 Highway 26 West,Oberlin,70655,30.6201984,-92.7626462,,,,,,,,,,,,,130,15,0,0,145,0,10,0,10,0,0,75,56,0,85,1,0,0,0,0,96323.5,0,0
6,22003,rural,Allen Parish,Jail,,City,6,,0,1,0,Kinder City Jail,807 3rd Ave,Kinder,70648,30.48543,-92.8499575,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,1,1,0,0,0,0,9632.35,0,0
7,22003,rural,Allen Parish,Jail,,City,13,,0,1,0,Oakdale City Jail,118 N 10th Street,Oakdale,71463,30.8150219,-92.6620878,,,,,,,,,,,,,4,2,0,0,6,0,,,,,,,,,,1,0,0,0,0,,0,0
8,22003,rural,Allen Parish,Prison,,State,1538,,0,1,0,Allen Correctional Center,3751 Lauderdale Woodyard Road,Kinder,70648,30.5671196,-92.7887592,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,0,0
9,22003,rural,Allen Parish,Prison,,Federal,861,,0,1,0,FCI Oakdale,1507 East Whatley Road,Oakdale,71463,30.83225604,-92.63692143,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,0,0
10,22003,rural,Allen Parish,Prison,,Federal,1063,,0,1,0,Oakdale II FCI AND SCP,2105 East Whatley Road,Oakdale,71463,30.83239884,-92.6365941,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,0,0
