code,year,parish,pretrial_date,total_jail_pretrial,prison_adm_count,total_pop,jail_pretrial_rate,prison_adm_rate,us_comparison_pretrial,us_comparison_prison_adm,la_comparison_pretrial,la_comparison_prison_adm,,over_1000_19,over_1000_99,buildingmap1,buildingmap2
22001,2021,Acadia Parish,11/26/21,143.1,170,62045,23.06390523,27.39946813,"Above the national average, but not twice the national average",Greater than twice the national average,Less than the state average,"Above the state average, but not twice the state average",,0,0,0,0
22003,2021,Allen Parish,3/26/21,56,92,25627,21.85195302,35.8996371,"Above the national average, but not twice the national average",Greater than twice the national average,Less than the state average,"Above the state average, but not twice the state average",,0,0,0,0
22005,2021,Ascension Parish,11/26/21,277,183,126604,21.87924552,14.4545196,"Above the national average, but not twice the national average","Above the national average, but not twice the national average",Less than the state average,Less than the state average,,0,0,0,0
22007,2021,Assumption Parish,11/26/21,84,93,21891,38.37193367,42.48321228,Greater than twice the national average,Greater than twice the national average,"Above the state average, but not twice the state average","Above the state average, but not twice the state average",,0,0,0,0
22009,2021,Avoyelles Parish,11/26/21,239,143,40144,59.53567158,35.62176166,Greater than twice the national average,Greater than twice the national average,Greater than twice the state average,"Above the state average, but not twice the state average",,0,2,0,0
22011,2021,Beauregard Parish,11/26/21,118.8,163,37497,31.6825346,43.47014428,Greater than twice the national average,Greater than twice the national average,"Above the state average, but not twice the state average","Above the state average, but not twice the state average",,0,0,0,0
22013,2021,Bienville Parish,11/26/21,14,60,13241,10.57321955,45.31379805,Less than the national average,Greater than twice the national average,Less than the state average,"Above the state average, but not twice the state average",,0,0,0,0
22015,2021,Bossier Parish,11/26/21,452,512,127039,35.57962515,40.30258425,Greater than twice the national average,Greater than twice the national average,"Above the state average, but not twice the state average","Above the state average, but not twice the state average",,2,0,0,0
22017,2021,Caddo Parish,11/26/21,1063,1106,240204,44.25405072,46.04419577,Greater than twice the national average,Greater than twice the national average,"Above the state average, but not twice the state average","Above the state average, but not twice the state average",,2,2,0,0
22019,2021,Calcasieu Parish,11/26/21,127,620,203436,6.242749563,30.47641519,Less than the national average,Greater than twice the national average,Less than the state average,"Above the state average, but not twice the state average",,2,2,0,0
22021,2021,Caldwell Parish,11/26/21,67.5,74,9918,68.05807623,74.6118169,Greater than twice the national average,Greater than twice the national average,Greater than twice the state average,Greater than twice the state average,,0,0,0,0
