"","city","stateAbb","year","department","expensecat","subdep","expensedescrip","personneltype","group","total"
"1","Albuquerque","NM","2020","Police Board","Operations","All Sub-departments","All expense items","All staff","Group 1",231000
"2","Albuquerque","NM","2020","Police Board","Personnel Services","All Sub-departments","All expense items","All staff","Group 1",786000
"3","Albuquerque","NM","2020","Police Board","Transfers","All Sub-departments","All expense items","All staff","Group 1",10000
"4","Albuquerque","NM","2020","Police Department","Grants and Projects","All Sub-departments","All expense items","All staff","Group 1",4500000
"5","Albuquerque","NM","2020","Police Department","Operations","All Sub-departments","All expense items","All staff","Group 1",18355000
"6","Albuquerque","NM","2020","Police Department","Personnel Services","All Sub-departments","All expense items","All staff","Group 1",164040000
"7","Albuquerque","NM","2020","Police Department","Transfers","All Sub-departments","All expense items","All staff","Group 1",23162000
"8","Anchorage","AK","2020","Police Department","Contractual Services","Administration","All expense items","All staff","Group 3",21348648
"9","Anchorage","AK","2020","Police Department","Contractual Services","Girdwood Police","All expense items","All staff","Group 3",686000
"10","Anchorage","AK","2020","Police Department","Equipment","Administration","All expense items","All staff","Group 3",59000
"11","Anchorage","AK","2020","Police Department","Equipment","Chief of Police","All expense items","All staff","Group 3",261295
"12","Anchorage","AK","2020","Police Department","Equipment","Operations","All expense items","All staff","Group 3",1197790
"13","Anchorage","AK","2020","Police Department","Intergovernmental Charges","All Sub departments","All expense items","All staff","Group 3",12698154
"14","Anchorage","AK","2020","Police Department","Materials and Services","Administration","All expense items","All staff","Group 3",2326553
"15","Anchorage","AK","2020","Police Department","Materials and Services","Chief of Police","All expense items","All staff","Group 3",8460
"16","Anchorage","AK","2020","Police Department","Materials and Services","Operations","All expense items","All staff","Group 3",99045
"17","Anchorage","AK","2020","Police Department","Non-Equipment Expense","Administration","All expense items","All staff","Group 3",13500
"18","Anchorage","AK","2020","Police Department","Non-Equipment Expense","Chief of Police","All expense items","All staff","Group 3",6000
"19","Anchorage","AK","2020","Police Department","Non-Equipment Expense","Operations","All expense items","All staff","Group 3",10000
"20","Anchorage","AK","2020","Police Department","Personnel Services","Administration","All expense items","All staff","Group 3",33764739
"21","Anchorage","AK","2020","Police Department","Personnel Services","Chief of Police","All expense items","All staff","Group 3",3045694
"22","Anchorage","AK","2020","Police Department","Personnel Services","Operations","All expense items","All staff","Group 3",58212076
"23","Anchorage","AK","2020","Police Department","Transfers","Turnagain Arm Police","All expense items","All staff","Group 3",29472
"24","Arlington","TX","2020","Police Department","Contractual Services","Administration","IT Maintenance","All staff","Group 4",5067682
"25","Arlington","TX","2020","Police Department","Contractual Services","Administration","Maintenance of Equipment","All staff","Group 4",270583
"26","Arlington","TX","2020","Police Department","Contractual Services","Administration","Other Services","All staff","Group 4",8740
"27","Arlington","TX","2020","Police Department","Contractual Services","Administration","Professional Fees","All staff","Group 4",76000
"28","Arlington","TX","2020","Police Department","Contractual Services","Body Worn Camera Operations","IT Maintenance","All staff","Group 4",299029
"29","Arlington","TX","2020","Police Department","Contractual Services","Covert","Other Services","All staff","Group 4",138317
"30","Arlington","TX","2020","Police Department","Contractual Services","Crime Victim Services","IT Maintenance","All staff","Group 4",600
"31","Arlington","TX","2020","Police Department","Contractual Services","East Division Ops","Maintenance of Equipment","All staff","Group 4",200
"32","Arlington","TX","2020","Police Department","Contractual Services","East Division Ops","Other Services","All staff","Group 4",700
"33","Arlington","TX","2020","Police Department","Contractual Services","Fiscal Services","Maintenance","All staff","Group 4",75844
"34","Arlington","TX","2020","Police Department","Contractual Services","Fiscal Services","Maintenance of Equipment","All staff","Group 4",25033
"35","Arlington","TX","2020","Police Department","Contractual Services","Fiscal Services","Other Services","All staff","Group 4",341123
"36","Arlington","TX","2020","Police Department","Contractual Services","Human Resources","Maintenance of Equipment","All staff","Group 4",1500
"37","Arlington","TX","2020","Police Department","Contractual Services","Human Resources","Other Services","All staff","Group 4",78606
"38","Arlington","TX","2020","Police Department","Contractual Services","Human Resources","Professional Fees","All staff","Group 4",102764
"39","Arlington","TX","2020","Police Department","Contractual Services","Investigations","IT Maintenance","All staff","Group 4",1964
"40","Arlington","TX","2020","Police Department","Contractual Services","Investigations","Maintenance of Equipment","All staff","Group 4",140
"41","Arlington","TX","2020","Police Department","Contractual Services","Jail","Maintenance","All staff","Group 4",1727
"42","Arlington","TX","2020","Police Department","Contractual Services","Jail","Maintenance of Equipment","All staff","Group 4",1000
"43","Arlington","TX","2020","Police Department","Contractual Services","Jail","Professional Fees","All staff","Group 4",148000
"44","Arlington","TX","2020","Police Department","Contractual Services","North Division Operations","Maintenance of Equipment","All staff","Group 4",200
"45","Arlington","TX","2020","Police Department","Contractual Services","Quartermaster","Other Services","All staff","Group 4",57567
"46","Arlington","TX","2020","Police Department","Contractual Services","Records","Maintenance of Equipment","All staff","Group 4",16247
"47","Arlington","TX","2020","Police Department","Contractual Services","Records","Other Services","All staff","Group 4",5558
"48","Arlington","TX","2020","Police Department","Contractual Services","Research & Development","IT Maintenance","All staff","Group 4",153452
"49","Arlington","TX","2020","Police Department","Contractual Services","Research & Development","Maintenance of Equipment","All staff","Group 4",818386
"50","Arlington","TX","2020","Police Department","Contractual Services","South Division Ops","Maintenance of Equipment","All staff","Group 4",200
"51","Arlington","TX","2020","Police Department","Contractual Services","South Division Ops","Other Services","All staff","Group 4",960
"52","Arlington","TX","2020","Police Department","Contractual Services","Special Events","IT Maintenance","All staff","Group 4",700
"53","Arlington","TX","2020","Police Department","Contractual Services","Special Events","Maintenance of Equipment","All staff","Group 4",2200
"54","Arlington","TX","2020","Police Department","Contractual Services","Special Investigations","IT Maintenance","All staff","Group 4",25086
"55","Arlington","TX","2020","Police Department","Contractual Services","Special Investigations","Other Services","All staff","Group 4",103740
"56","Arlington","TX","2020","Police Department","Contractual Services","Special Operations","Maintenance of Equipment","All staff","Group 4",3000
"57","Arlington","TX","2020","Police Department","Contractual Services","Special Operations","Other Services","All staff","Group 4",15000
"58","Arlington","TX","2020","Police Department","Contractual Services","Technical Services","IT Maintenance","All staff","Group 4",2413
"59","Arlington","TX","2020","Police Department","Contractual Services","Technical Services","Maintenance of Equipment","All staff","Group 4",999
"60","Arlington","TX","2020","Police Department","Contractual Services","Technical Services","Other Services","All staff","Group 4",535699
"61","Arlington","TX","2020","Police Department","Contractual Services","Traffic","IT Maintenance","All staff","Group 4",5831
"62","Arlington","TX","2020","Police Department","Contractual Services","Traffic","Maintenance of Equipment","All staff","Group 4",5342
"63","Arlington","TX","2020","Police Department","Contractual Services","Traffic","Other Services","All staff","Group 4",60000
"64","Arlington","TX","2020","Police Department","Contractual Services","West Division Ops","Maintenance of Equipment","All staff","Group 4",200
"65","Arlington","TX","2020","Police Department","Equipment","Administration","Office Supplies","All staff","Group 4",3171
"66","Arlington","TX","2020","Police Department","Equipment","Administration","Other","All staff","Group 4",2000
"67","Arlington","TX","2020","Police Department","Equipment","Administration","Other Supplies","All staff","Group 4",930
"68","Arlington","TX","2020","Police Department","Equipment","Community Relations","Office Supplies","All staff","Group 4",1150
"69","Arlington","TX","2020","Police Department","Equipment","Community Relations","Other","All staff","Group 4",167
"70","Arlington","TX","2020","Police Department","Equipment","Community Relations","Uniforms","All staff","Group 4",300
"71","Arlington","TX","2020","Police Department","Equipment","Covert","Office Supplies","All staff","Group 4",1650
"72","Arlington","TX","2020","Police Department","Equipment","Covert","Other","All staff","Group 4",258
"73","Arlington","TX","2020","Police Department","Equipment","Covert","Other Supplies","All staff","Group 4",1704
