city,stateAbb,year,department,expensecat,subdep,expensedescrip,personneltype,group,total
Albuquerque,NM,2020,Police Board,Operations,All Sub-departments,All expense items,All staff,Group 1,231000
Albuquerque,NM,2020,Police Board,Personnel Services,All Sub-departments,All expense items,All staff,Group 1,786000
Albuquerque,NM,2020,Police Board,Transfers,All Sub-departments,All expense items,All staff,Group 1,10000
Albuquerque,NM,2020,Police Department,Grants and Projects,All Sub-departments,All expense items,All staff,Group 1,4500000
Albuquerque,NM,2020,Police Department,Operations,All Sub-departments,All expense items,All staff,Group 1,18355000
Albuquerque,NM,2020,Police Department,Personnel Services,All Sub-departments,All expense items,All staff,Group 1,164040000
Albuquerque,NM,2020,Police Department,Transfers,All Sub-departments,All expense items,All staff,Group 1,23162000
Anchorage,AK,2020,Police Department,Contractual Services,Administration,All expense items,All staff,Group 3,21348648
Anchorage,AK,2020,Police Department,Contractual Services,Girdwood Police,All expense items,All staff,Group 3,686000
Anchorage,AK,2020,Police Department,Equipment,Administration,All expense items,All staff,Group 3,59000
Anchorage,AK,2020,Police Department,Equipment,Chief of Police,All expense items,All staff,Group 3,261295
Anchorage,AK,2020,Police Department,Equipment,Operations,All expense items,All staff,Group 3,1197790
Anchorage,AK,2020,Police Department,Intergovernmental Charges,All Sub departments,All expense items,All staff,Group 3,12698154
Anchorage,AK,2020,Police Department,Materials and Services,Administration,All expense items,All staff,Group 3,2326553
Anchorage,AK,2020,Police Department,Materials and Services,Chief of Police,All expense items,All staff,Group 3,8460
Anchorage,AK,2020,Police Department,Materials and Services,Operations,All expense items,All staff,Group 3,99045
Anchorage,AK,2020,Police Department,Non-Equipment Expense,Administration,All expense items,All staff,Group 3,13500
Anchorage,AK,2020,Police Department,Non-Equipment Expense,Chief of Police,All expense items,All staff,Group 3,6000
Anchorage,AK,2020,Police Department,Non-Equipment Expense,Operations,All expense items,All staff,Group 3,10000
Anchorage,AK,2020,Police Department,Personnel Services,Administration,All expense items,All staff,Group 3,33764739
Anchorage,AK,2020,Police Department,Personnel Services,Chief of Police,All expense items,All staff,Group 3,3045694
Anchorage,AK,2020,Police Department,Personnel Services,Operations,All expense items,All staff,Group 3,58212076
Anchorage,AK,2020,Police Department,Transfers,Turnagain Arm Police,All expense items,All staff,Group 3,29472
Arlington,TX,2020,Police Department,Contractual Services,Administration,IT Maintenance,All staff,Group 4,5067682
Arlington,TX,2020,Police Department,Contractual Services,Administration,Maintenance of Equipment,All staff,Group 4,270583
Arlington,TX,2020,Police Department,Contractual Services,Administration,Other Services,All staff,Group 4,8740
Arlington,TX,2020,Police Department,Contractual Services,Administration,Professional Fees,All staff,Group 4,76000
Arlington,TX,2020,Police Department,Contractual Services,Body Worn Camera Operations,IT Maintenance,All staff,Group 4,299029
Arlington,TX,2020,Police Department,Contractual Services,Covert,Other Services,All staff,Group 4,138317
Arlington,TX,2020,Police Department,Contractual Services,Crime Victim Services,IT Maintenance,All staff,Group 4,600
Arlington,TX,2020,Police Department,Contractual Services,East Division Ops,Maintenance of Equipment,All staff,Group 4,200
Arlington,TX,2020,Police Department,Contractual Services,East Division Ops,Other Services,All staff,Group 4,700
Arlington,TX,2020,Police Department,Contractual Services,Fiscal Services,Maintenance,All staff,Group 4,75844
Arlington,TX,2020,Police Department,Contractual Services,Fiscal Services,Maintenance of Equipment,All staff,Group 4,25033
Arlington,TX,2020,Police Department,Contractual Services,Fiscal Services,Other Services,All staff,Group 4,341123
Arlington,TX,2020,Police Department,Contractual Services,Human Resources,Maintenance of Equipment,All staff,Group 4,1500
Arlington,TX,2020,Police Department,Contractual Services,Human Resources,Other Services,All staff,Group 4,78606
Arlington,TX,2020,Police Department,Contractual Services,Human Resources,Professional Fees,All staff,Group 4,102764
Arlington,TX,2020,Police Department,Contractual Services,Investigations,IT Maintenance,All staff,Group 4,1964
Arlington,TX,2020,Police Department,Contractual Services,Investigations,Maintenance of Equipment,All staff,Group 4,140
Arlington,TX,2020,Police Department,Contractual Services,Jail,Maintenance,All staff,Group 4,1727
Arlington,TX,2020,Police Department,Contractual Services,Jail,Maintenance of Equipment,All staff,Group 4,1000
Arlington,TX,2020,Police Department,Contractual Services,Jail,Professional Fees,All staff,Group 4,148000
Arlington,TX,2020,Police Department,Contractual Services,North Division Operations,Maintenance of Equipment,All staff,Group 4,200
Arlington,TX,2020,Police Department,Contractual Services,Quartermaster,Other Services,All staff,Group 4,57567
Arlington,TX,2020,Police Department,Contractual Services,Records,Maintenance of Equipment,All staff,Group 4,16247
Arlington,TX,2020,Police Department,Contractual Services,Records,Other Services,All staff,Group 4,5558
Arlington,TX,2020,Police Department,Contractual Services,Research & Development,IT Maintenance,All staff,Group 4,153452
Arlington,TX,2020,Police Department,Contractual Services,Research & Development,Maintenance of Equipment,All staff,Group 4,818386
Arlington,TX,2020,Police Department,Contractual Services,South Division Ops,Maintenance of Equipment,All staff,Group 4,200
Arlington,TX,2020,Police Department,Contractual Services,South Division Ops,Other Services,All staff,Group 4,960
