"citystate","year","department","expensecat","subdep","expensedescrip","personneltype","group","total"
"Albuquerque, New Mexico","2020","Police Board","Capital Projects","All Sub-departments","All expense items","All staff","Group 1",0
"Albuquerque, New Mexico","2020","Police Board","Operating","All Sub-departments","All expense items","All staff","Group 1",231000
"Albuquerque, New Mexico","2020","Police Board","Personnel Services","All Sub-departments","All expense items","All staff","Group 1",786000
"Albuquerque, New Mexico","2020","Police Board","Transfers","All Sub-departments","All expense items","All staff","Group 1",10000
"Albuquerque, New Mexico","2020","Police Department","Capital Projects","All Sub-departments","All expense items","All staff","Group 1",0
"Albuquerque, New Mexico","2020","Police Department","Grants and Projects","All Sub-departments","All expense items","All staff","Group 1",4500000
"Albuquerque, New Mexico","2020","Police Department","Operating","All Sub-departments","All expense items","All staff","Group 1",18355000
"Albuquerque, New Mexico","2020","Police Department","Personnel Services","All Sub-departments","All expense items","All staff","Group 1",164040000
"Albuquerque, New Mexico","2020","Police Department","Transfers","All Sub-departments","All expense items","All staff","Group 1",23162000
"Anchorage, Alaska","2020","Police Department","Contractual Services","Administration","All expense items","All staff","Group 3",21348648
"Anchorage, Alaska","2020","Police Department","Contractual Services","Girdwood Police","All expense items","All staff","Group 3",686000
"Anchorage, Alaska","2020","Police Department","Equipment","Administration","All expense items","All staff","Group 3",59000
"Anchorage, Alaska","2020","Police Department","Equipment","Chief of Police","All expense items","All staff","Group 3",261295
"Anchorage, Alaska","2020","Police Department","Equipment","Operations","All expense items","All staff","Group 3",1197790
"Anchorage, Alaska","2020","Police Department","Intergovernmental Charges","All Sub departments","All expense items","All staff","Group 3",12698154
"Anchorage, Alaska","2020","Police Department","Materials and Services","Administration","All expense items","All staff","Group 3",2326553
"Anchorage, Alaska","2020","Police Department","Materials and Services","Chief of Police","All expense items","All staff","Group 3",8460
"Anchorage, Alaska","2020","Police Department","Materials and Services","Operations","All expense items","All staff","Group 3",99045
"Anchorage, Alaska","2020","Police Department","Non-Equipment Expense","Administration","All expense items","All staff","Group 3",13500
"Anchorage, Alaska","2020","Police Department","Non-Equipment Expense","Chief of Police","All expense items","All staff","Group 3",6000
"Anchorage, Alaska","2020","Police Department","Non-Equipment Expense","Operations","All expense items","All staff","Group 3",10000
"Anchorage, Alaska","2020","Police Department","Personnel Services","Administration","All expense items","All staff","Group 3",33764739
"Anchorage, Alaska","2020","Police Department","Personnel Services","Chief of Police","All expense items","All staff","Group 3",3045694
"Anchorage, Alaska","2020","Police Department","Personnel Services","Operations","All expense items","All staff","Group 3",58212076
"Anchorage, Alaska","2020","Police Department","Transfers","Turnagain Arm Police","All expense items","All staff","Group 3",29472
"Arlington, Texas","2020","Police Department","Capital Projects","All Sub-departments","All expense items","All staff","Group 1",0
"Arlington, Texas","2020","Police Department","Operations","All Sub-departments","All expense items","All staff","Group 1",20544948
"Arlington, Texas","2020","Police Department","Personnel Services","All Sub-departments","All expense items","All staff","Group 1",97302684
"Atlanta, Georgia","2020","Police Department","All Pension","All Sub-departments","Retirement/pension","All staff","Group 5",14430616
"Atlanta, Georgia","2020","Police Department","Capital Projects","All Sub-departments","All expense items","All staff","Group 5",492740
"Atlanta, Georgia","2020","Police Department","Contractual Services","All Sub-departments","All expense items","All staff","Group 5",32160960
"Atlanta, Georgia","2020","Police Department","Equipment","All Sub-departments","All expense items","All staff","Group 5",8791316
"Atlanta, Georgia","2020","Police Department","Financing issues","All Sub-departments","All expense items","All staff","Group 5",3703202
"Atlanta, Georgia","2020","Police Department","Intergovernmental Charges","All Sub-departments","All expense items","All staff","Group 5",16429638
"Atlanta, Georgia","2020","Police Department","Operations","All Sub-departments","Other costs","All staff","Group 5",443014
"Atlanta, Georgia","2020","Police Department","Other Financing Uses","All Sub-departments","All expense items","All staff","Group 5",3703202
"Atlanta, Georgia","2020","Police Department","Personnel Services","All Sub-departments","All expense items","Other Staff","Group 5",263698
"Atlanta, Georgia","2020","Police Department","Personnel Services","All Sub-departments","Benefits","All staff","Group 5",28573757
"Atlanta, Georgia","2020","Police Department","Personnel Services","All Sub-departments","Overtime","All staff","Group 5",14420514
"Atlanta, Georgia","2020","Police Department","Personnel Services","All Sub-departments","Salaries","Civilian staff","Group 5",42581622
"Atlanta, Georgia","2020","Police Department","Personnel Services","All Sub-departments","Salaries","Sworn staff","Group 5",117897860
"Atlanta, Georgia","2020","Police Department","Personnel Services","All Sub-departments","Worker's Compensations","All staff","Group 5",4406560
"Atlanta, Georgia","2020","Police Pensions","All Pension","All Sub-departments","Retirement/pension","All staff","Group 5",21356724
"Austin, Texas","2020","Police Department","Capital Projects","Transfers","Other","All Staff","Group 4",22824
"Austin, Texas","2020","Police Department","Captial Projects","Specialized Patrol","Water service","All Staff","Group 4",500
"Austin, Texas","2020","Police Department","Contractual Services","Investigations","Other services","All Staff","Group 4",734696
"Austin, Texas","2020","Police Department","Contractual Services","Patrol","Stability pay","All Staff","Group 4",8367
"Austin, Texas","2020","Police Department","Contractual Services","Support Services","Contruction Contracted","All Staff","Group 4",3000
"Austin, Texas","2020","Police Department","Contractual Services","Support Services","Court Costs","All Staff","Group 4",30000
"Austin, Texas","2020","Police Department","Contractual Services","Support Services","Credit Card Fees","All Staff","Group 4",25000
"Austin, Texas","2020","Police Department","Equipment","Air Operations","Gasoline","All Staff","Group 4",150000
"Austin, Texas","2020","Police Department","Equipment","Air Operations","Maintenance-other equipment","All Staff","Group 4",250500
"Austin, Texas","2020","Police Department","Equipment","Air Operations","Overtime - Civil Service","All Staff","Group 4",35000
"Austin, Texas","2020","Police Department","Equipment","Air Operations","Regular wages - Civil Services","All Staff","Group 4",868530
"Austin, Texas","2020","Police Department","Equipment","Air Operations","Rental-real estate-other","All Staff","Group 4",144503
"Austin, Texas","2020","Police Department","Equipment","Air Operations","Subscriptions","All Staff","Group 4",1600
"Austin, Texas","2020","Police Department","Equipment","Communications","Retirement/pension","All Staff","Group 4",29036
"Austin, Texas","2020","Police Department","Equipment","Communications","Salaries/Wages","All Staff","Group 4",566585
"Austin, Texas","2020","Police Department","Equipment","Community Partnerships","Field Equipment","All Staff","Group 4",38806
"Austin, Texas","2020","Police Department","Equipment","Community Partnerships","Maintenance-computer software","All Staff","Group 4",600
"Austin, Texas","2020","Police Department","Equipment","Community Partnerships","Medicare tax","All Staff","Group 4",18197
"Austin, Texas","2020","Police Department","Equipment","Community Partnerships","Stability pay","All Staff","Group 4",8000
"Austin, Texas","2020","Police Department","Equipment","Community Partnerships","Subscriptions","All Staff","Group 4",150
"Austin, Texas","2020","Police Department","Equipment","Community Partnerships","Transportation-city veh fuel","All Staff","Group 4",5886
"Austin, Texas","2020","Police Department","Equipment","Community Partnerships","Uniforms","All Staff","Group 4",8000
"Austin, Texas","2020","Police Department","Equipment","Forensic Services","Animal Supplies","All Staff","Group 4",22800
"Austin, Texas","2020","Police Department","Equipment","Forensic Services","Chemicals","All Staff","Group 4",20500
"Austin, Texas","2020","Police Department","Equipment","Forensic Services","Explosives/blasting","All Staff","Group 4",117675
"Austin, Texas","2020","Police Department","Equipment","Forensic Services","Field Equipment","All Staff","Group 4",80300
"Austin, Texas","2020","Police Department","Equipment","Forensic Services","Identification","All Staff","Group 4",13300
"Austin, Texas","2020","Police Department","Equipment","Forensic Services","IT Supplies","All Staff","Group 4",2100
"Austin, Texas","2020","Police Department","Equipment","Forensic Services","Medial Supplies","All Staff","Group 4",74950
"Austin, Texas","2020","Police Department","Equipment","Forensic Services","Medical supplies","All Staff","Group 4",115000
"Austin, Texas","2020","Police Department","Equipment","Forensic Services","Retirement/pension","All Staff","Group 4",2021008
"Austin, Texas","2020","Police Department","Equipment","Forensic Services","Salaries/Wages","All Staff","Group 4",5232691
"Austin, Texas","2020","Police Department","Equipment","Forensic Services","Transportation","All Staff","Group 4",28902
"Austin, Texas","2020","Police Department","Equipment","Homelessness","Maintenance-vehicles","All Staff","Group 4",6036
"Austin, Texas","2020","Police Department","Equipment","Homelessness","Rental-vehicles/buses","All Staff","Group 4",5000
"Austin, Texas","2020","Police Department","Equipment","Homelessness","Uniforms","All Staff","Group 4",500
"Austin, Texas","2020","Police Department","Equipment","Internal Affairs","IT Supplies","All Staff","Group 4",500
"Austin, Texas","2020","Police Department","Equipment","Internal Affairs","Retirement/pension","All Staff","Group 4",594271
"Austin, Texas","2020","Police Department","Equipment","Internal Affairs","Salaries/Wages","All Staff","Group 4",401892
"Austin, Texas","2020","Police Department","Equipment","Internal Affairs","Transportation","All Staff","Group 4",1286
"Austin, Texas","2020","Police Department","Equipment","Investigations","Animal Supplies","All Staff","Group 4",11100
"Austin, Texas","2020","Police Department","Equipment","Investigations","Field Equipment","All Staff","Group 4",56990
"Austin, Texas","2020","Police Department","Equipment","Investigations","Field supplies","All Staff","Group 4",250
"Austin, Texas","2020","Police Department","Equipment","Investigations","Food","All Staff","Group 4",800
"Austin, Texas","2020","Police Department","Equipment","Investigations","Maintenance ","All Staff","Group 4",18585
"Austin, Texas","2020","Police Department","Equipment","Investigations","Maintenance equipment","All Staff","Group 4",26617
"Austin, Texas","2020","Police Department","Equipment","Investigations","Office supplies","All Staff","Group 4",61353
"Austin, Texas","2020","Police Department","Equipment","Investigations","Phones","All Staff","Group 4",5570
"Austin, Texas","2020","Police Department","Equipment","Investigations","Printing","All Staff","Group 4",120
"Austin, Texas","2020","Police Department","Equipment","Investigations","Rental Vehicles","All Staff","Group 4",7800
"Austin, Texas","2020","Police Department","Equipment","Investigations","Vehicles","All Staff","Group 4",10000
"Austin, Texas","2020","Police Department","Equipment","Patrol","Animal Supplies","All Staff","Group 4",7100
"Austin, Texas","2020","Police Department","Equipment","Patrol","Explosives/blasting","All Staff","Group 4",22428
"Austin, Texas","2020","Police Department","Equipment","Patrol","Field Equipment","All Staff","Group 4",5723166
"Austin, Texas","2020","Police Department","Equipment","Patrol","Identification","All Staff","Group 4",24142
"Austin, Texas","2020","Police Department","Equipment","Patrol","Maintenance-computer software","All Staff","Group 4",2171129
"Austin, Texas","2020","Police Department","Equipment","Patrol","Maintenance-other equipment","All Staff","Group 4",14088
"Austin, Texas","2020","Police Department","Equipment","Patrol","Medical/dental supplies","All Staff","Group 4",1278
"Austin, Texas","2020","Police Department","Equipment","Patrol","Rental-real estate-office","All Staff","Group 4",103980
"Austin, Texas","2020","Police Department","Equipment","Patrol","Rental-vehicles/buses","All Staff","Group 4",32200
"Austin, Texas","2020","Police Department","Equipment","Patrol","Transportation-city veh fuel","All Staff","Group 4",2961484
"Austin, Texas","2020","Police Department","Equipment","Patrol","Uniforms","All Staff","Group 4",827535
"Austin, Texas","2020","Police Department","Equipment","Patrol Support","Field Equipment","All Staff","Group 4",41215
"Austin, Texas","2020","Police Department","Equipment","Patrol Support","Maintenance-computer hardware","All Staff","Group 4",82930
"Austin, Texas","2020","Police Department","Equipment","Patrol Support","Maintenance-computer software","All Staff","Group 4",326987
"Austin, Texas","2020","Police Department","Equipment","Patrol Support","Transportation-city veh fuel","All Staff","Group 4",10086
"Austin, Texas","2020","Police Department","Equipment","Patrol Support","Uniforms","All Staff","Group 4",85500
"Austin, Texas","2020","Police Department","Equipment","Recruiting","IT Supplies","All Staff","Group 4",800
"Austin, Texas","2020","Police Department","Equipment","Recruiting","Retirement/pension","All Staff","Group 4",468958
"Austin, Texas","2020","Police Department","Equipment","Recruiting","Salaries/Wages","All Staff","Group 4",381056
"Austin, Texas","2020","Police Department","Equipment","Recruiting","Subscriptions","All Staff","Group 4",6956
"Austin, Texas","2020","Police Department","Equipment","Recruiting","Transportation","All Staff","Group 4",455
"Austin, Texas","2020","Police Department","Equipment","Specialized Patrol","Animal Supplies","All Staff","Group 4",74416
"Austin, Texas","2020","Police Department","Equipment","Specialized Patrol","Field Equipment","All Staff","Group 4",279538
"Austin, Texas","2020","Police Department","Equipment","Specialized Patrol","Overtime - Civil Service","All Staff","Group 4",231000
"Austin, Texas","2020","Police Department","Equipment","Specialized Patrol","Regular wages - Civil Services","All Staff","Group 4",18640163
"Austin, Texas","2020","Police Department","Equipment","Specialized Patrol","Rental-real estate-office","All Staff","Group 4",46432
"Austin, Texas","2020","Police Department","Equipment","Specialized Patrol","Transportation-city veh fuel","All Staff","Group 4",25535
"Austin, Texas","2020","Police Department","Equipment","Specialized Patrol","Uniforms","All Staff","Group 4",39500
"Austin, Texas","2020","Police Department","Equipment","Strategic Support","Field Equipment","All Staff","Group 4",6669
"Austin, Texas","2020","Police Department","Equipment","Strategic Support","Identification","All Staff","Group 4",1500
"Austin, Texas","2020","Police Department","Equipment","Strategic Support","IT Supplies","All Staff","Group 4",139464
"Austin, Texas","2020","Police Department","Equipment","Strategic Support","Phones","All Staff","Group 4",4200
"Austin, Texas","2020","Police Department","Equipment","Strategic Support","Retirement/pension","All Staff","Group 4",1147139
